Date;Gold XAU/EUR Rate FX Unhdg.;1-5 Year US Govt (ICE) FX Unhdg.;1-5 Year Global Non-Sov (ICE) IR hdg. IRS;World Equity (MSCI) FX Unhdg.;1-3 Year China Govt (ICE) FX Unhdg.;US Inflation-Linked Govt (ICE) FX Hdg.;US MBS (ICE) FX Hdg.;EM global IG Govt (JPM) FX Hdg.
04.12.1996;0,00692996;-0,0025;;-0,004633084;;;-0,00135;
05.12.1996;-0,003574769;-0,00454;;-0,000952742;;;-0,00272;
06.12.1996;-0,00838223;-0,00889;;-0,021201535;;;-0,00077;
09.12.1996;0,003922232;0,01033;;0,018394939;;;0,00241;
10.12.1996;3,36802E-05;-0,00062;;0,001450704;;;-0,00038;
11.12.1996;-0,007577799;-0,00949;;-0,015399422;;;-0,00426;
12.12.1996;0,003665117;0,00184;;-0,006823245;;;-0,00051;
13.12.1996;0,003516484;0,00204;;-0,005034008;;;0,00252;
16.12.1996;-0,005559487;0,00329;;0,002414479;;;-0,00095;
17.12.1996;0,005353392;-0,00445;;-0,002452876;;;-0,00101;
18.12.1996;0,002830952;0,00553;;0,008834152;;;-0,00085;
19.12.1996;0,004604113;0,0062;;0,007193187;;;0,00327;
20.12.1996;-0,006289098;-0,00533;;0,001830368;;;0,00026;
23.12.1996;0,001548561;0,00043;;-0,000487413;;;0,00133;
24.12.1996;0,001613391;0,00077;;-0,00052111;;;-0,0001;
26.12.1996;-0,001745376;0,00164;;0,003224676;;;0,00015;
27.12.1996;0,000975085;-0,00009;;0,002821134;;;0,00179;
30.12.1996;0,000738999;-0,00063;;0,001954427;;;0,0001;
31.12.1996;-0,015608217;-0,01102;;-0,011414717;;;-0,00425;
02.01.1997;-0,010072918;-0,0027;0,00209;-0,006887205;;;-0,00397;
03.01.1997;0,000719474;0,00946;-0,00008;0,01666101;;;0,00049;
06.01.1997;-0,012119552;0,00195;0,00004;0,008250271;;;0,00041;
07.01.1997;0,003015075;-0,00198;-0,00027;4,90113E-05;;;-0,00081;
08.01.1997;-0,00297146;0,00556;0,00071;0,003011865;;;0,00044;
09.01.1997;0,00436651;0,00297;-0,00071;0,000657682;;;0,0013;
10.01.1997;0,010351253;0,00217;0,00053;-0,000531554;;;-0,00276;
13.01.1997;0,000614712;0,00424;0,00008;0,008477263;;;0,00023;
14.01.1997;-0,009522184;0,0044;0,00018;0,010450055;;;0,0038;
15.01.1997;-0,008304331;-0,00179;0,00016;-0,001142529;;;0,00062;
16.01.1997;0,009867964;-0,0002;-0,00039;0,006576359;;;-0,00175;
17.01.1997;0,015620699;0,01092;0,00027;0,012774211;;;0,00144;
20.01.1997;-0,000846941;0,00888;0,00001;0,003176728;;;0,00054;
21.01.1997;0,000881565;0,00092;0,00015;0,001239318;;;0,0016;
22.01.1997;0,003015007;0,01005;0,00022;0,0141368;;;-0,00029;
23.01.1997;0,000236423;0,0011;0,00007;-0,005026945;;;-0,00102;
24.01.1997;-0,0002026;-0,00514;0,00032;-0,013880616;;;-0,00049;
27.01.1997;0,021885238;-0,00034;-0,00015;-0,001599861;;;-0,00159;
28.01.1997;-0,007998149;0,01504;0,00004;0,007673098;;;0,00195;
29.01.1997;-0,007329668;-0,00377;-0,00011;-0,000868405;;;0,00117;
30.01.1997;-0,019499916;-0,00142;0,0003;0,002993975;;;0,00098;
31.01.1997;-0,000753064;0,0025;-0,00176;0,005810345;;;0,00373;
03.02.1997;0,00695396;0,00515;0,00049;0,004656917;;;0,00262;
04.02.1997;-0,003640075;-0,00034;-0,00061;0,000578282;;;-0,00126;
05.02.1997;-0,0029705;0,00068;0,00004;-0,00275483;;;-0,00048;
06.02.1997;-0,001061607;0,00015;0,0001;0,000977969;;;-0,00077;
07.02.1997;0,001439835;0,01366;-0,0002;0,014711391;;;0,00324;
10.02.1997;-0,003594413;-0,00785;0,00018;-0,005186138;;;0,00101;
11.02.1997;0,005943587;0,00625;0,00013;0,008998915;;;0,00021;
12.02.1997;0,016256831;0,00617;-0,00011;0,014599019;;;-0,00052;
13.02.1997;-0,008132814;0,00525;-0,00031;0,00903842;;;0,00269;
14.02.1997;0,016365115;0,00165;-0,00039;0,000893051;;;0,00223;
